TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
g000993,41,남,20,6,1,1,3,3,,4,6,3,4,42,42820,41,41480,26,26350,2,2,4,4,6,2,1,7,인천광역시,전북,2인 여행(가족 외),2023-06-04~2023-06-06,7,1,2,1
g006477,11,여,20,5,1,1,4,12,,2,7,3,3,50,50110,26,26350,30,30170,6,3,4,3,2,7,2,4,서울특별시,충남,나홀로 여행,2023-08-26~2023-08-27,2,1,4,0
g012348,44,남,30,5,1,1,1,7,,4,,3,6,46,46130,11,11110,26,26500,2,4,2,2,2,2,1,6,충청남도,충남,2인 여행(가족 외),2023-09-16~2023-09-16,1,7,3,1
g001710,45,남,20,6,1,1,3,13,,3,5,3,10,50,50110,29,29140,11,11680,4,1,3,5,3,3,1,5,전라북도,광주,나홀로 여행,2023-06-06~2023-06-07,5,1,8,0
g004435,44,여,20,6,1,1,3,2,,4,6,2,3,50,50130,26,26350,11,11680,3,3,3,4,4,3,3,7,충청남도,충남,2인 여행(가족 외),2023-07-29~2023-07-29,3,5,2,1
g001648,46,여,40,6,4,1,1,4,,4,,3,10,50,50130,46,46130,42,42150,2,2,4,2,2,3,3,5,전라남도,광주,2인 여행(가족 외),2023-06-05~2023-06-05,8,2,1,1
g012300,29,남,30,6,1,1,4,3,,6,11,1,1,11,11710,46,46110,46,46710,7,7,7,4,4,1,7,1,광주광역시,전남,나홀로 여행,2023-09-17~2023-09-17,2,7,4,0
g002735,11,남,30,5,1,1,3,2,,4,6,3,6,42,42210,26,26350,44,44200,2,1,2,6,4,2,1,5,서울특별시,충남,2인 여행(가족 외),2023-06-24~2023-06-25,3,2,1,1
g003159,30,여,30,6,1,2,1,3,,4,,4,1,50,50110,26,26230,42,42210,2,4,3,5,6,4,6,6,대전광역시,충남,나홀로 여행,2023-06-24~2023-06-24,6,1,5,0
g012269,11,여,20,6,3,1,3,12,,2,6,3,4,42,42150,26,26350,45,45110,5,3,1,1,3,3,5,6,서울특별시,충남,2인 여행(가족 외),2023-09-12~2023-09-12,8,7,2,1
g002819,29,여,20,5,1,1,2,3,,4,5,2,1,26,26350,46,46130,46,46710,4,4,2,5,2,5,6,6,광주광역시,대전,2인 가족 여행,2023-07-01~2023-07-02,7,3,5,1
g012999,45,여,50,6,1,2,4,3,,7,11,2,2,45,45110,11,11680,50,50130,1,1,1,4,5,4,2,7,전라북도,전북,자녀 동반 여행,2023-09-24~2023-09-24,3,,,3
g003965,11,남,40,6,1,1,1,13,,4,,3,5,42,42150,47,47110,26,26710,1,2,2,2,3,2,2,2,서울특별시,전남,2인 여행(가족 외),2023-07-15~2023-07-16,7,4,1,1
g006442,28,남,20,6,1,1,1,2,,4,,2,1,50,50130,26,26350,30,30140,2,1,1,1,1,4,5,6,인천광역시,대전,2인 여행(가족 외),2023-09-09~2023-09-09,7,3,5,1
g007346,11,여,20,6,1,1,4,3,,2,8,3,5,30,30140,26,26500,50,50110,5,4,5,1,4,7,5,7,서울특별시,대전,나홀로 여행,2023-08-31~2023-08-31,7,1,2,0
g003961,41,남,20,5,1,1,4,3,,4,12,3,2,50,50110,42,42150,26,26290,4,1,2,5,2,3,2,6,경기도,전북,2인 여행(가족 외),2023-07-09~2023-07-10,1,10,5,1
g001819,11,남,20,5,1,1,4,7,,4,6,2,1,41,41820,42,42150,41,41590,2,1,1,4,5,3,3,5,서울특별시,전남,2인 여행(가족 외),2023-06-03~2023-06-04,3,1,2,1
g001646,41,여,30,6,1,1,3,2,,9,12,3,3,42,42230,42,42210,11,11680,3,1,1,6,7,2,1,6,경기도,세종,3대 동반 여행(친척 포함),2023-06-05~2023-06-06,9,8,3,3
g006214,36,여,20,6,1,1,4,2,,4,6,3,3,26,26500,47,47130,11,11170,6,2,3,2,6,6,5,7,세종특별자치시,전북,2인 여행(가족 외),2023-08-13~2023-08-14,1,3,5,1
